date, - values, - uncertainties
1985-06-30,8.109707832336426,0.002421434037387371
1986-06-30,8.108819007873535,0.002408504718914628
1987-06-30,8.106886863708496,0.0022035911679267883
1988-06-30,8.104572296142578,0.0021903335582464933
1989-06-30,8.103279113769531,0.0021783544216305017
1990-06-30,8.102215766906738,0.0021737299393862486
1991-06-30,8.101377487182617,0.01470344327390194
1992-06-30,8.100141525268555,0.002451928099617362
1993-06-30,8.100014686584473,0.014473202638328075
1994-06-30,8.098084449768066,0.0021907929331064224
1995-06-30,8.096086502075195,0.002165451878681779
1996-06-30,8.094380378723145,0.00218816171400249
1997-06-30,8.093974113464355,0.002159435534849763
1998-06-30,8.091667175292969,0.002091446425765753
1999-06-30,8.088226318359375,0.0020544971339404583
2000-06-30,8.08716106414795,0.0020421980880200863
2001-06-30,8.08588695526123,0.00233975681476295
2002-06-30,8.08530044555664,0.002175314584746957
2003-06-30,8.082449913024902,0.00195758487097919
2004-06-30,8.080889701843262,0.0020232589449733496
2005-06-30,8.079414367675781,0.01301738154143095
2006-06-30,8.077622413635254,0.0023337779566645622
2007-06-30,8.075752258300781,0.012999129481613636
2008-06-30,8.073847770690918,0.0018978845328092575
2009-06-30,8.073325157165527,0.0021287149284034967
2010-06-30,8.071308135986328,0.001950059668160975
2011-06-30,8.069743156433105,0.002189581049606204
2012-06-30,8.067682266235352,0.012977797538042068
2013-06-30,8.064997673034668,0.0019833436235785484
2014-06-30,8.064423561096191,0.002093311632052064
2015-06-30,8.063042640686035,0.002090140013024211
2016-06-30,8.059906959533691,0.013484491966664791
2017-06-30,8.057226181030273,0.0025039264000952244
2018-06-30,8.056511878967285,0.0019238472450524569
2019-06-30,8.055262565612793,0.0019906209781765938
2020-06-30,8.051230430603027,0.002559872344136238
2021-06-30,8.049418449401855,0.0025596239138394594
2022-06-30,8.047449111938477,0.014779389835894108
